0.2554 	 KD 
0.2554 	 HH 
0.4876 	 HH 
0.5341 	 HH 
0.7314 	 HH 
0.7314 	 SD 
0.8475 	 HH 
0.9520 	 KD 
0.9636 	 HH 
1.0913 	 KD 
1.0913 	 HH 
1.0913 	 SD 
1.2307 	 HH 
1.3816 	 HH 
1.6834 	 SD 
1.6834 	 HH 
1.9389 	 KD 
1.9389 	 HH 
2.1827 	 HH 
2.4149 	 HH 
2.4613 	 HH 
2.6587 	 SD 
2.6587 	 HH 
2.7632 	 HH 
2.8793 	 KD 
2.8793 	 HH 
3.0186 	 SD 
3.0186 	 KD 
3.2624 	 HH 
3.4017 	 HH 
3.6223 	 HH 
3.6223 	 SD 
3.7616 	 SD 
3.8661 	 KD 
3.8661 	 HH 
4.0054 	 HH 
4.0983 	 KD 
4.0983 	 HH 
4.3305 	 HH 
4.3770 	 HH 
4.5743 	 HH 
4.5743 	 SD 
4.6904 	 HH 
4.8065 	 KD 
4.8065 	 HH 
4.9342 	 KD 
4.9342 	 SD 
5.0736 	 HH 
5.1897 	 HH 
5.3174 	 HH 
5.5263 	 SD 
5.5380 	 HH 
5.7818 	 HH 
5.7818 	 KD 
6.0256 	 HH 
6.2578 	 HH 
6.3042 	 HH 
6.5016 	 SD 
6.5016 	 HH 
6.7222 	 KD 
6.7338 	 HH 
6.8615 	 KD 
7.1169 	 HH 
7.2214 	 HH 
7.4652 	 SD 
7.4652 	 HH 
7.6045 	 SD 
7.7090 	 KD 
7.7090 	 HH 
7.8483 	 HH 
7.9412 	 HH 
7.9412 	 KD 
8.0457 	 SD 
8.1734 	 HH 
8.2199 	 HH 
8.4172 	 SD 
8.4288 	 HH 
8.5333 	 HH 
8.6494 	 KD 
8.6494 	 HH 
8.7771 	 SD 
8.7888 	 KD 
9.0326 	 HH 
9.1487 	 HH 
9.3809 	 HH 
9.3809 	 SD 
9.6247 	 HH 
9.6363 	 KD 
9.8685 	 HH 
9.8685 	 KD 
10.1007 	 HH 
10.3445 	 SD 
10.3445 	 HH 
10.4606 	 HH 
10.5651 	 KD 
10.5767 	 HH 
10.7044 	 KD 
10.7392 	 HH 
10.9598 	 HH 
11.0759 	 HH 
11.3081 	 SD 
11.3081 	 HH 
11.4590 	 SD 
11.5519 	 HH 
11.5635 	 KD 
11.6912 	 SD 
11.7029 	 HH 
11.7841 	 HH 
11.7957 	 KD 
12.0163 	 HH 
12.2717 	 SD 
12.2717 	 HH 
12.4923 	 KD 
12.4923 	 HH 
12.6317 	 KD 
12.7594 	 HH 
12.8871 	 HH 
13.0032 	 HH 
13.2238 	 HH 
13.2238 	 SD 
13.4792 	 HH 
13.4792 	 KD 
13.7114 	 KD 
13.7114 	 HH 
13.9436 	 HH 
14.1874 	 SD 
14.4196 	 KD 
14.5009 	 SD 
14.5589 	 KD 
14.6170 	 SD 
14.9537 	 HH 
15.1510 	 SD 
15.4064 	 KD 
